,latitude,longitude,start_count,station,end_count
611,40.7647,-73.9240312,613.0,31 Ave & 30 St,588
612,40.76471851944339,-73.96222069859505,2070.0,E 65 St & 2 Ave,2017
613,40.76500525,-73.95818491,7444.0,1 Ave & E 68 St,7379
614,40.7652654,-73.98192338,9083.0,Broadway & W 56 St,8353
615,40.7656251,-73.9136695,972.0,Steinway St & 28 Ave,975
616,40.765834600000005,-73.9265474,654.0,31 Ave & Crescent St,662
617,40.76584941,-73.98690506,3708.0,W 54 St & 9 Ave,4020
618,40.7659,-73.930819,857.0,21 St & 31 Dr,855
619,40.76590936,-73.97634151,9790.0,Central Park S & 6 Ave,9604
620,40.766368,-73.971518,1956.0,5 Ave & E 63 St,1884
621,40.76663814,-73.95348296,3873.0,E 72 St & York Ave,3886
622,40.76669671,-73.99061728,4707.0,W 53 St & 10 Ave,4778
623,40.7667405590595,-73.9790689945221,6348.0,7 Ave & Central Park South,6268
624,40.7668,-73.93477740000002,566.0,Broadway & 12 St,572
625,40.7671,-73.9169858,704.0,28 Ave & 35 St,702
626,40.76712840349542,-73.96224617958069,1715.0,E 68 St & 3 Ave,1703
627,40.7671863,-73.9373554,693.0,Vernon Blvd & 10 St,694
628,40.76727216,-73.99392888,5963.0,W 52 St & 11 Ave,5836
629,40.7675487799971,-73.92093345522879,2329.0,31 St & Newtown Ave,2279
630,40.76780080148132,-73.96592080593109,1489.0,E 67 St & Park Ave,1466
631,40.768008893059466,-73.96845281124116,1624.0,E 66 St & Madison Ave,1607
632,40.7682,-73.9322662,422.0,31 Ave & 14 St,427
633,40.768254,-73.988639,3589.0,W 56 St & 10 Ave,3625
634,40.768692,-73.9249574,664.0,Crescent St & 30 Ave,656
635,40.76873687,-73.96119945,1084.0,3 Ave & E 71 St,1076
636,40.7687620293096,-73.95840793848038,3754.0,2 Ave & E 72 St,3617
637,40.7689738,-73.95482273,3395.0,E 74 St & 1 Ave,3402
638,40.76915505,-73.98191841,12274.0,Broadway & W 60 St,12125
639,40.7691572,-73.96703464,1326.0,E 68 St & Madison Ave,1282
640,40.7692475,-73.93545040000001,716.0,Vernon Blvd & 31 Ave,728
641,40.76991760000001,-73.91840570000001,777.0,31 St & Astoria Blvd,775
642,40.7699426,-73.96060712,1322.0,3 Ave & E 72 St,1333
643,40.7701477,-73.9120938,439.0,37 St & 24 Ave,430
644,40.77037429999999,-73.9286078,540.0,30 Ave & 21 St,538
645,40.770513,-73.988038,5497.0,W 59 St & 10 Ave,4634
646,40.770845,-73.93417099999999,832.0,Vernon Blvd & 30 Rd,807
647,40.77112927,-73.95772297,2036.0,E 75 St & 3 Ave,2041
648,40.771152799999996,-73.9170074,417.0,31 St & Hoyt Ave N,393
649,40.77118287540658,-73.96409422159195,2614.0,E 72 St & Park Ave,2581
650,40.7713615,-73.9246145,921.0,Newtown Ave & 23 St,915
651,40.771393700000004,-73.9077436,641.0,Steinway St & 23 Ave,631
652,40.77140426,-73.9535166,5117.0,1 Ave & E 78 St,5104
653,40.771496710544405,-73.99046033620834,6774.0,11 Ave & W 59 St,6780
654,40.77163851,-73.98261428,5785.0,W 63 St & Broadway,5084
655,40.7724607,-73.9468208,1618.0,E 82 St & East End Ave,1642
656,40.7727966,-73.95577801,1908.0,E 78 St & 2 Ave,1935
